location,date,variant,num_sequences_total
Egypt,4/5/2021,Eta,74
Egypt,4/5/2021,Gamma,74
Egypt,4/5/2021,Iota,74
Egypt,4/5/2021,Kappa,74
Egypt,4/5/2021,Lambda,74
Egypt,4/5/2021,Mu,74
Egypt,4/5/2021,Omicron,74
Egypt,4/5/2021,S:677H.Robin1,74
Egypt,4/5/2021,S:677P.Pelican,74
Egypt,4/5/2021,others,74
Egypt,4/5/2021,non_who,74
Egypt,4/19/2021,Alpha,10
Egypt,4/19/2021,B.1.1.277,10
Egypt,4/19/2021,B.1.1.302,10
Egypt,4/19/2021,B.1.1.519,10
Egypt,4/19/2021,B.1.160,10
Egypt,4/19/2021,B.1.177,10
Egypt,4/19/2021,B.1.221,10
Egypt,4/19/2021,B.1.258,10
Egypt,4/19/2021,B.1.367,10
Egypt,4/19/2021,B.1.620,10
Egypt,4/19/2021,Beta,10
Egypt,4/19/2021,Delta,10
Egypt,4/19/2021,Epsilon,10
Egypt,4/19/2021,Eta,10
Egypt,4/19/2021,Gamma,10
Egypt,4/19/2021,Iota,10
Egypt,4/19/2021,Kappa,10
Egypt,4/19/2021,Lambda,10
Egypt,4/19/2021,Mu,10
Egypt,4/19/2021,Omicron,10
Egypt,4/19/2021,S:677H.Robin1,10
Egypt,4/19/2021,S:677P.Pelican,10
Egypt,4/19/2021,others,10
Egypt,4/19/2021,non_who,10
Egypt,5/3/2021,Alpha,89
Egypt,5/3/2021,B.1.1.277,89
Egypt,5/3/2021,B.1.1.302,89
Egypt,5/3/2021,B.1.1.519,89
Egypt,5/3/2021,B.1.160,89
Egypt,5/3/2021,B.1.177,89
Egypt,5/3/2021,B.1.221,89
Egypt,5/3/2021,B.1.258,89
Egypt,5/3/2021,B.1.367,89
Egypt,5/3/2021,B.1.620,89
Egypt,5/3/2021,Beta,89
Egypt,5/3/2021,Delta,89
Egypt,5/3/2021,Epsilon,89
Egypt,5/3/2021,Eta,89
Egypt,5/3/2021,Gamma,89
Egypt,5/3/2021,Iota,89
Egypt,5/3/2021,Kappa,89
Egypt,5/3/2021,Lambda,89
Egypt,5/3/2021,Mu,89
Egypt,5/3/2021,Omicron,89
Egypt,5/3/2021,S:677H.Robin1,89
Egypt,5/3/2021,S:677P.Pelican,89
Egypt,5/3/2021,others,89
Egypt,5/3/2021,non_who,89
Egypt,5/17/2021,Alpha,42
Egypt,5/17/2021,B.1.1.277,42
Egypt,5/17/2021,B.1.1.302,42
Egypt,5/17/2021,B.1.1.519,42
Egypt,5/17/2021,B.1.160,42
Egypt,5/17/2021,B.1.177,42
Egypt,5/17/2021,B.1.221,42
Egypt,5/17/2021,B.1.258,42
Egypt,5/17/2021,B.1.367,42
Egypt,5/17/2021,B.1.620,42
Egypt,5/17/2021,Beta,42
Egypt,5/17/2021,Delta,42
Egypt,5/17/2021,Epsilon,42
Egypt,5/17/2021,Eta,42
Egypt,5/17/2021,Gamma,42
Egypt,5/17/2021,Iota,42
Egypt,5/17/2021,Kappa,42
Egypt,5/17/2021,Lambda,42
Egypt,5/17/2021,Mu,42
Egypt,5/17/2021,Omicron,42
Egypt,5/17/2021,S:677H.Robin1,42
Egypt,5/17/2021,S:677P.Pelican,42
Egypt,5/17/2021,others,42
Egypt,5/17/2021,non_who,42
Egypt,5/31/2021,Alpha,23
Egypt,5/31/2021,B.1.1.277,23
Egypt,5/31/2021,B.1.1.302,23
Egypt,5/31/2021,B.1.1.519,23
Egypt,5/31/2021,B.1.160,23
Egypt,5/31/2021,B.1.177,23
Egypt,5/31/2021,B.1.221,23
Egypt,5/31/2021,B.1.258,23
Egypt,5/31/2021,B.1.367,23
Egypt,5/31/2021,B.1.620,23
Egypt,5/31/2021,Beta,23
Egypt,5/31/2021,Delta,23
Egypt,5/31/2021,Epsilon,23
Egypt,5/31/2021,Eta,23
Egypt,5/31/2021,Gamma,23
Egypt,5/31/2021,Iota,23
Egypt,5/31/2021,Kappa,23
Egypt,5/31/2021,Lambda,23
Egypt,5/31/2021,Mu,23
Egypt,5/31/2021,Omicron,23
Egypt,5/31/2021,S:677H.Robin1,23
Egypt,5/31/2021,S:677P.Pelican,23
Egypt,5/31/2021,others,23
Egypt,5/31/2021,non_who,23
Egypt,6/14/2021,Alpha,10
Egypt,6/14/2021,B.1.1.277,10
Egypt,6/14/2021,B.1.1.302,10
Egypt,6/14/2021,B.1.1.519,10
Egypt,6/14/2021,B.1.160,10
Egypt,6/14/2021,B.1.177,10
Egypt,6/14/2021,B.1.221,10
Egypt,6/14/2021,B.1.258,10
Egypt,6/14/2021,B.1.367,10
Egypt,6/14/2021,B.1.620,10
Egypt,6/14/2021,Beta,10
Egypt,6/14/2021,Delta,10
Egypt,6/14/2021,Epsilon,10
Egypt,6/14/2021,Eta,10
Egypt,6/14/2021,Gamma,10
Egypt,6/14/2021,Iota,10
Egypt,6/14/2021,Kappa,10
Egypt,6/14/2021,Lambda,10
Egypt,6/14/2021,Mu,10
Egypt,6/14/2021,Omicron,10
Egypt,6/14/2021,S:677H.Robin1,10
Egypt,6/14/2021,S:677P.Pelican,10
Egypt,6/14/2021,others,10
Egypt,6/14/2021,non_who,10
Egypt,6/28/2021,Alpha,4
Egypt,6/28/2021,B.1.1.277,4
Egypt,6/28/2021,B.1.1.302,4
Egypt,6/28/2021,B.1.1.519,4
Egypt,6/28/2021,B.1.160,4
Egypt,6/28/2021,B.1.177,4
Egypt,6/28/2021,B.1.221,4
Egypt,6/28/2021,B.1.258,4
Egypt,6/28/2021,B.1.367,4
Egypt,6/28/2021,B.1.620,4
Egypt,6/28/2021,Beta,4
Egypt,6/28/2021,Delta,4
Egypt,6/28/2021,Epsilon,4
Egypt,6/28/2021,Eta,4
Egypt,6/28/2021,Gamma,4
Egypt,6/28/2021,Iota,4
Egypt,6/28/2021,Kappa,4
